customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges.Monthly,account_Charges.Total,qtd_servicos_ativos,nivel_servico,partner_dependents
0440-UEDAI,False,Female,False,No,No,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Cartão de crédito (automático),94.45,5042.75,6,Serviço completo,No_No
0442-TDYUO,False,Male,False,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Cheque enviado,20.05,1036.0,1,Serviços básicos,Yes_No
0442-ZXKVS,False,Female,True,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Transferência bancária (automática),115.6,6431.05,9,Serviço completo,Yes_No
0447-BEMNG,True,Female,False,Yes,No,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Transferência bancária (automática),45.3,2145.0,5,Serviços intermediários,Yes_No
0447-RXSGD,False,Male,False,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Transferência bancária (automática),99.65,2404.85,6,Serviço completo,No_No
0454-OKRCT,False,Male,False,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Transferência bancária (automática),80.6,2651.1,4,Serviços intermediários,No_No
0455-ENTCR,False,Male,False,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Cheque eletrônico,85.25,5538.35,8,Serviço completo,Yes_No
0455-XFASS,False,Female,False,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,69.55,200.2,2,Serviços básicos,Yes_Yes
0458-HEUZG,False,Female,False,No,No,13,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,No,Cheque enviado,35.4,450.4,4,Serviços intermediários,No_No
0459-SPZHJ,False,Male,False,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Cartão de crédito (automático),83.5,5435.0,8,Serviço completo,Yes_Yes
0461-CVKMU,True,Female,False,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Cheque eletrônico,83.8,1900.25,5,Serviços intermediários,Yes_Yes
0463-TXOAK,False,Male,False,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cartão de crédito (automático),25.6,1334.5,2,Serviços básicos,No_Yes
0463-WZZKO,False,Male,False,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Cartão de crédito (automático),20.75,67.1,1,Serviços básicos,No_No
0463-ZSDNT,False,Male,False,No,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Transferência bancária (automática),56.75,503.25,3,Serviços intermediários,No_No
0464-WJTKO,False,Female,False,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Transferência bancária (automática),20.1,1460.85,1,Serviços básicos,Yes_Yes
0468-YRPXN,False,Male,False,No,No,29,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cartão de crédito (automático),98.8,2807.1,6,Serviço completo,No_No
0471-ARVMX,False,Female,True,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Cheque eletrônico,104.85,6312.9,7,Serviço completo,Yes_No
0471-LVHGK,True,Male,False,Yes,No,41,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Cheque eletrônico,73.0,3001.2,6,Serviço completo,Yes_No
0475-RIJEP,True,Male,False,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,77.85,3365.85,4,Serviços intermediários,No_No
0479-HMSWA,False,Female,False,No,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cheque eletrônico,105.45,2715.3,7,Serviço completo,No_Yes
0480-BIXDE,False,Female,False,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,96.8,1743.05,5,Serviços intermediários,Yes_No
0480-KYJVA,False,Female,False,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cartão de crédito (automático),24.25,1784.5,2,Serviços básicos,Yes_Yes
0481-SUMCB,False,Female,True,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Transferência bancária (automática),102.15,4735.35,6,Serviço completo,No_No
0484-FFVBJ,False,Male,False,No,No,32,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Transferência bancária (automática),64.85,2010.95,4,Serviços intermediários,No_No
0484-JPBRU,False,Male,False,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Transferência bancária (automática),25.25,996.45,2,Serviços básicos,No_No
0485-ZBSLN,False,Male,False,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cartão de crédito (automático),24.75,1715.1,2,Serviços básicos,Yes_Yes
0486-HECZI,True,Male,False,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Cheque eletrônico,96.75,5238.9,6,Serviço completo,Yes_No
0486-LGCCH,False,Male,False,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cheque enviado,19.65,225.75,1,Serviços básicos,Yes_Yes
0487-CRLZF,False,Female,False,No,No,49,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Transferência bancária (automática),74.45,3721.9,6,Serviço completo,No_No
0487-RPVUM,False,Male,False,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Transferência bancária (automática),99.4,5943.65,7,Serviço completo,Yes_No
0487-VVUVK,False,Male,False,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Cheque enviado,19.15,477.6,1,Serviços básicos,Yes_Yes
0488-GSLFR,True,Female,False,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,69.5,69.5,2,Serviços básicos,No_No
0489-WMEMG,False,Female,False,No,Yes,23,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Cheque eletrônico,49.45,1119.35,3,Serviços intermediários,No_Yes
0491-KAPQG,False,Male,False,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,73.7,1558.7,3,Serviços intermediários,No_No
0495-RVCBF,True,Female,False,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Cheque eletrônico,79.7,79.7,3,Serviços intermediários,No_No
0495-ZBNGW,True,Male,True,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Transferência bancária (automática),79.9,343.95,4,Serviços intermediários,Yes_No
0496-AHOOK,False,Male,False,Yes,No,24,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Transferência bancária (automática),74.4,1712.9,6,Serviço completo,Yes_No
0504-HHAPI,True,Female,True,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Cartão de crédito (automático),88.3,2467.75,5,Serviços intermediários,No_No
0505-SPOOW,False,Female,False,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Transferência bancária (automática),19.8,1397.65,1,Serviços básicos,Yes_No
0506-LVNGN,True,Female,True,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Cartão de crédito (automático),75.55,349.65,3,Serviços intermediários,No_No
0506-YLVKJ,False,Male,False,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Cheque enviado,20.2,917.45,1,Serviços básicos,Yes_Yes
0508-OOLTO,False,Female,False,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,71.65,135.75,2,Serviços básicos,Yes_Yes
0508-SQWPL,False,Female,False,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Transferência bancária (automática),20.1,1087.7,1,Serviços básicos,Yes_Yes
0511-JTEOY,True,Female,False,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cheque enviado,71.1,71.1,2,Serviços básicos,No_No
0512-FLFDW,False,Female,True,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Cartão de crédito (automático),100.5,6029.0,6,Serviço completo,Yes_No
0513-RBGPE,False,Male,False,Yes,Yes,37,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Cartão de crédito (automático),62.8,2278.75,6,Serviço completo,Yes_Yes
0515-YPMCW,True,Male,False,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque enviado,70.45,70.45,2,Serviços básicos,No_Yes
0516-OOHAR,False,Male,False,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Transferência bancária (automática),100.35,2799.0,6,Serviço completo,Yes_Yes
0516-QREYC,False,Female,True,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Cheque enviado,20.3,459.95,1,Serviços básicos,No_No
0516-UXRMT,False,Female,False,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Cheque eletrônico,92.05,5755.8,6,Serviço completo,No_No
0516-VRYBW,True,Female,False,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Transferência bancária (automática),20.15,390.85,1,Serviços básicos,No_Yes
0516-WJVXC,True,Female,False,No,No,5,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Cheque eletrônico,54.2,308.25,4,Serviços intermediários,No_No
0519-DRGTI,False,Female,False,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,20.35,442.6,1,Serviços básicos,Yes_Yes
0519-XUZJU,True,Female,False,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cheque enviado,70.75,70.75,2,Serviços básicos,No_No
0520-FDVVT,True,Male,False,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Transferência bancária (automática),102.35,3626.1,6,Serviço completo,No_No
0523-VNGTF,False,Female,True,No,No,52,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Cheque eletrônico,50.5,2566.3,6,Serviço completo,No_No
0524-IAVZO,True,Female,False,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Cheque eletrônico,85.0,2624.25,4,Serviços intermediários,Yes_No
0526-SXDJP,False,Male,False,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Transferência bancária (automática),42.1,2962.0,5,Serviços intermediários,Yes_No
0529-ONKER,True,Male,True,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cheque eletrônico,75.65,1146.65,3,Serviços intermediários,No_No
0530-IJVDB,False,Male,False,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cheque eletrônico,114.6,7882.5,9,Serviço completo,No_Yes
0531-XBKMM,False,Male,False,No,Yes,66,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Transferência bancária (automática),65.7,4378.9,6,Serviço completo,No_Yes
0531-ZZJWQ,False,Male,True,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,74.0,4052.4,3,Serviços intermediários,Yes_No
0533-BNWKF,True,Female,True,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Cheque eletrônico,85.45,4874.7,5,Serviços intermediários,Yes_No
0533-UCAAU,False,Male,True,Yes,No,57,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Cartão de crédito (automático),71.1,4140.1,6,Serviço completo,Yes_No
0536-ACXIP,False,Female,False,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Cheque eletrônico,109.55,8165.1,8,Serviço completo,Yes_No
0536-BGFMZ,False,Female,False,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,20.5,563.05,1,Serviços básicos,Yes_No
0536-ESJEP,False,Male,False,Yes,No,54,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Transferência bancária (automática),74.55,4191.45,6,Serviço completo,Yes_No
0537-QYZZN,False,Male,True,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,79.85,1857.75,4,Serviços intermediários,Yes_Yes
0541-FITGH,False,Female,False,Yes,No,2,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Cheque enviado,62.15,113.1,4,Serviços intermediários,Yes_No
0547-HURJB,False,Male,False,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cartão de crédito (automático),21.05,235.8,1,Serviços básicos,No_Yes
0549-CYCQN,False,Male,True,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Transferência bancária (automática),79.6,3974.7,4,Serviços intermediários,No_No
0550-DCXLH,False,Male,False,No,No,13,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Cheque enviado,73.35,931.55,6,Serviço completo,No_No
0556-FJEGU,False,Male,False,No,No,58,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Transferência bancária (automática),70.1,4048.95,6,Serviço completo,No_No
0557-ASKVU,False,Female,False,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Cartão de crédito (automático),54.4,957.1,4,Serviços intermediários,Yes_Yes
0559-CKHUS,False,Female,False,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Cheque enviado,19.55,521.8,1,Serviços básicos,Yes_No
0562-FGDCR,False,Female,False,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Cheque enviado,74.55,5430.65,7,Serviço completo,Yes_Yes
0562-HKHML,False,Male,False,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cartão de crédito (automático),23.9,1626.4,2,Serviços básicos,Yes_Yes
0562-KBDVM,False,Female,False,No,No,70,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Transferência bancária (automática),44.6,3058.15,6,Serviço completo,No_No
0564-JJHGS,True,Male,False,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,95.5,829.1,5,Serviços intermediários,No_No
0564-MUUQK,False,Female,False,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Transferência bancária (automática),95.5,1916.2,6,Serviço completo,Yes_Yes
0565-IYCGT,True,Male,False,No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Cartão de crédito (automático),78.6,5356.45,8,Serviço completo,No_No
0565-JUPYD,False,Male,False,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Cartão de crédito (automático),104.5,6590.8,8,Serviço completo,No_No
0567-GGCAC,False,Female,False,No,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Cheque eletrônico,61.4,438.9,5,Serviços intermediários,No_No
0567-XRHCU,False,Female,False,Yes,Yes,69,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Cartão de crédito (automático),43.95,2960.1,5,Serviços intermediários,Yes_Yes
0568-ONFPC,True,Male,False,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Transferência bancária (automática),25.9,135.0,2,Serviços básicos,Yes_Yes
0570-BFQHT,False,Female,False,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Cheque eletrônico,80.55,653.9,4,Serviços intermediários,No_No
0572-ZJKLT,False,Female,False,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Cheque enviado,99.65,4630.2,7,Serviço completo,Yes_Yes
0575-CUQOV,False,Male,True,Yes,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Cheque eletrônico,97.95,5867.0,6,Serviço completo,Yes_No
0576-WNXXC,True,Male,True,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Cheque eletrônico,95.55,2510.2,6,Serviço completo,Yes_No
0577-WHMEV,False,Female,False,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Cheque eletrônico,90.7,1374.9,6,Serviço completo,Yes_No
0578-SKVMF,True,Female,False,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Cheque eletrônico,83.3,1845.9,4,Serviços intermediários,Yes_Yes
0580-PIQHM,False,Female,False,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Transferência bancária (automática),101.6,3930.55,7,Serviço completo,Yes_Yes
0581-BXBUB,False,Female,True,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Cheque eletrônico,72.75,317.75,3,Serviços intermediários,No_No
0581-MDMPW,False,Female,False,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Cartão de crédito (automático),88.95,2072.75,5,Serviços intermediários,No_No
0582-AVCLN,False,Female,False,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cheque enviado,20.3,743.05,1,Serviços básicos,No_No
0584-BJQGZ,False,Female,False,No,No,25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Transferência bancária (automática),78.35,1837.9,8,Serviço completo,No_No
0585-EGDDA,False,Male,False,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Cheque eletrônico,80.0,3168.75,4,Serviços intermediários,Yes_No
0587-DMGBH,True,Female,False,No,No,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,49.85,365.55,3,Serviços intermediários,No_No
0594-UFTUL,False,Male,False,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Cheque enviado,19.85,252.0,1,Serviços básicos,Yes_Yes
0595-ITUDF,False,Male,False,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Cheque eletrônico,91.8,5960.5,6,Serviço completo,Yes_Yes
0596-BQCEQ,True,Female,False,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,100.15,6283.3,6,Serviço completo,Yes_Yes
0599-XNYDO,False,Female,False,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Transferência bancária (automática),69.8,1540.35,2,Serviços básicos,Yes_No
0601-WZHJF,True,Male,False,Yes,No,14,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Cheque eletrônico,46.35,667.7,4,Serviços intermediários,Yes_No
0602-DDUML,False,Female,False,No,No,57,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Cheque enviado,69.75,3894.4,6,Serviço completo,No_No
0603-OLQDC,False,Male,False,No,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Cheque enviado,69.85,837.5,5,Serviços intermediários,No_Yes
0603-TPMIB,False,Female,False,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cheque enviado,25.45,1534.05,2,Serviços básicos,Yes_Yes
0604-THJFP,False,Female,False,Yes,Yes,59,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Cartão de crédito (automático),75.95,4542.35,6,Serviço completo,Yes_Yes
0607-DAAHE,True,Male,False,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Transferência bancária (automática),19.75,1052.35,1,Serviços básicos,No_Yes
0607-MVMGC,False,Male,False,Yes,Yes,45,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Cartão de crédito (automático),78.75,3600.65,7,Serviço completo,Yes_Yes
0608-JDVEC,False,Male,False,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cheque eletrônico,19.8,1013.2,1,Serviços básicos,Yes_No
0611-DFXKO,True,Male,False,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cheque enviado,89.0,1820.45,4,Serviços intermediários,Yes_No
0612-RTZZA,True,Female,True,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Cheque eletrônico,25.25,25.25,2,Serviços básicos,No_No
0613-WUXUM,False,Female,False,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Cheque enviado,19.2,1401.4,1,Serviços básicos,Yes_Yes
0616-ATFGB,True,Male,True,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Cheque eletrônico,25.05,25.05,2,Serviços básicos,Yes_No
0617-AQNWT,True,Female,False,Yes,No,64,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Cheque eletrônico,47.85,3147.5,6,Serviço completo,Yes_No
0617-FHSGK,True,Male,False,No,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cartão de crédito (automático),75.2,3678.3,3,Serviços intermediários,No_Yes
0618-XWMSS,True,Male,False,No,Yes,28,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Transferência bancária (automática),74.9,2068.55,3,Serviços intermediários,No_Yes
0619-OLYUR,False,Male,False,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Cartão de crédito (automático),111.9,8071.05,8,Serviço completo,Yes_No
0620-DLSLK,False,Female,False,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cheque enviado,81.9,1028.9,3,Serviços intermediários,No_No
0620-XEFWH,False,Male,False,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,18.85,84.2,1,Serviços básicos,Yes_Yes
0621-CXBKL,False,Female,False,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cheque enviado,18.7,1005.7,1,Serviços básicos,No_No
0621-HJWXJ,False,Female,False,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Transferência bancária (automática),81.55,5029.05,4,Serviços intermediários,Yes_No
0621-JFHOL,False,Female,False,No,No,10,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,Yes,Cheque enviado,29.6,299.05,3,Serviços intermediários,No_No
0621-TSSMU,False,Male,False,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Cartão de crédito (automático),19.95,1126.75,1,Serviços básicos,Yes_No
0621-TWIEM,True,Male,False,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,45.55,402.6,2,Serviços básicos,No_No
0623-EJQEG,False,Male,False,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Cheque eletrônico,93.55,6069.25,6,Serviço completo,No_No
0623-GDISB,False,Female,False,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Transferência bancária (automática),48.45,48.45,3,Serviços intermediários,No_No
0623-IIHUG,True,Female,True,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Cheque eletrônico,41.9,840.1,4,Serviços intermediários,No_No
0625-AFOHS,False,Female,False,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cheque enviado,20.2,558.8,1,Serviços básicos,Yes_Yes
0626-QXNGV,False,Female,False,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Cartão de crédito (automático),24.15,1776.45,2,Serviços básicos,Yes_No
0628-CNQRM,True,Male,False,Yes,Yes,22,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Transferência bancária (automática),67.5,1544.05,6,Serviço completo,Yes_Yes
0634-SZPQA,True,Female,False,No,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Transferência bancária (automática),90.05,2169.8,5,Serviços intermediários,No_No
0635-WKOLD,False,Male,False,Yes,No,40,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Cartão de crédito (automático),70.75,2921.75,6,Serviço completo,Yes_No
0637-KVDLV,True,Male,False,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,76.5,162.45,3,Serviços intermediários,No_No
0637-UBJRP,True,Male,False,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Cheque eletrônico,84.05,1095.3,4,Serviços intermediários,Yes_Yes
0637-YLETY,True,Female,False,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Cartão de crédito (automático),95.6,1555.65,6,Serviço completo,No_No
0639-TSIQW,True,Female,False,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Cartão de crédito (automático),102.95,6886.25,7,Serviço completo,No_No
0640-YJTPY,False,Male,False,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Transferência bancária (automática),21.0,1493.75,1,Serviços básicos,Yes_Yes
0641-EVBOJ,False,Male,False,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Cheque enviado,82.3,214.4,4,Serviços intermediários,No_No
